file,line,col,severity,message,code
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,91,,error,"Untyped decorator makes function ""get_brain_state"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,98,,error,"Untyped decorator makes function ""abort_generation"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,110,,error,"Untyped decorator makes function ""emergency_stop"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,114,,error,"Untyped decorator makes function ""get_system_prompt"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,121,,error,"Untyped decorator makes function ""update_system_prompt"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_7_personality_routes.py,132,,error,"Untyped decorator makes function ""sever_context"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,40,,error,"Untyped decorator makes function ""search_memories_advanced"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,110,,error,"Untyped decorator makes function ""search_memories_simple"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,121,,error,"Untyped decorator makes function ""search_facts"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,141,,error,"Untyped decorator makes function ""get_fact_stats"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,158,,error,"Untyped decorator makes function ""search_beliefs"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,181,,error,"Untyped decorator makes function ""get_belief_stats"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,196,,error,"Untyped decorator makes function ""get_memory_distribution"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,236,,error,"Untyped decorator makes function ""add_memory_manual"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,250,,error,"Untyped decorator makes function ""cleanup_memories"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,263,,error,"Untyped decorator makes function ""get_all_users"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_6_memory_routes.py,276,,error,"Untyped decorator makes function ""get_user_profile"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_1_panel_panels/d4_2_voice_routes/d5_5_voice_ops.py,17,,error,"Missing type arguments for generic type ""Task""",type-arg
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_4_server_status.py,13,,error,"Module ""serin.d1_5_ops_tooling.d2_1_control_panel.d3_2_panel_server.d4_3_server_state"" does not explicitly export attribute ""app""",attr-defined
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_4_server_status.py,13,,error,"Module ""serin.d1_5_ops_tooling.d2_1_control_panel.d3_2_panel_server.d4_3_server_state"" does not explicitly export attribute ""bot_state""",attr-defined
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_4_server_status.py,13,,error,"Module ""serin.d1_5_ops_tooling.d2_1_control_panel.d3_2_panel_server.d4_3_server_state"" does not explicitly export attribute ""make_json_safe""",attr-defined
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,66,,error,"Untyped decorator makes function ""get_prompt_history"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,76,,error,"Untyped decorator makes function ""get_prompt_detail"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,86,,error,"Untyped decorator makes function ""get_conversation"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,111,,error,"Untyped decorator makes function ""get_personality_history"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,130,,error,"Untyped decorator makes function ""get_all_relationships"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,167,,error,"Untyped decorator makes function ""get_memory_timeline"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,202,,error,"Untyped decorator makes function ""get_alert_rules"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,206,,error,"Untyped decorator makes function ""add_alert_rule"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,223,,error,"Untyped decorator makes function ""delete_alert_rule"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,228,,error,"Untyped decorator makes function ""get_alert_history"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,232,,error,"Untyped decorator makes function ""check_alerts"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_11_debug_routes.py,273,,error,"Untyped decorator makes function ""generate_health_report"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,20,,error,"Untyped decorator makes function ""get_current_mood"" untyped",untyped-decorator
serin/d1_5_ops_tooling/d2_1_control_panel/d3_2_panel_server/d4_9_missing_routes.py,52,,error,"Untyped decorator makes function ""set_mood"" untyped",untyped-decorator
